Inc: IA No,Inc: Incident type,Inc: Occurred date,Inc: Occurred time,OffSnp: Link type,OffSnp: Org: Net area,OffSnp: Title/rank,Off: Race,Off: Gender,OffSnp: Age,OffSnp: Years employed,UOF: Officer condition/injury,OffSnp: Body worn camera,UOF: Type of force used,UOF: Reason for using force,UOF: Citizen condition/injury,UOF: Citizen was arrested (y/n),Cit: Charge,Inc: Service rendered,UOF: Officer assessment of cit condition,Inc: CIT: Citizen behaviors,Cit: Race,Cit: Gender,CitSnp: Age
F17-001,Use of force,01/01/2017,00:35,Officer,,Sergeant,Spanish,Male,35,9,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Resistance without violence,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Sergeant,Spanish,Male,35,9,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Resistance with violence,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Sergeant,Spanish,Male,35,9,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Disorderly Conduct,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Sergeant,Spanish,Male,35,9,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Resistance without violence,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Sergeant,Spanish,Male,35,9,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Resistance with violence,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Sergeant,Spanish,Male,35,9,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Disorderly Conduct,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Sergeant,Spanish,Male,35,9,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Resistance without violence,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Sergeant,Spanish,Male,35,9,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Resistance with violence,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Sergeant,Spanish,Male,35,9,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Disorderly Conduct,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Police Officer,Hispanic,Male,32,1,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Resistance without violence,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Police Officer,Hispanic,Male,32,1,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Resistance with violence,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Police Officer,Hispanic,Male,32,1,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Disorderly Conduct,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Police Officer,Hispanic,Male,32,1,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Resistance without violence,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Police Officer,Hispanic,Male,32,1,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Resistance with violence,Arrest,,,Hispanic,Male,20
F17-001,Use of force,01/01/2017,00:35,Officer,,Police Officer,Hispanic,Male,32,1,No injuries noted or visible,,Physical Force,Traffic Violation,Head Injury,No,Disorderly Conduct,Arrest,,,Hispanic,Male,20
F17-002,Use of force,01/04/2017,17:50,Witness,Model City,Police Ofc,White,Male,29,3,,,,Narcotics,Self Inflicted Injury,Yes,Resistance with violence,Arrest,Physical - Active,,Black,Male,21
F17-002,Use of force,01/04/2017,17:50,Witness,Model City,Police Ofc,White,Male,29,3,,,,Narcotics,Self Inflicted Injury,Yes,Resistance without violence,Arrest,Physical - Active,,Black,Male,21
F17-002,Use of force,01/04/2017,17:50,Officer,Coral Way,Sergeant,White,Male,34,10,,,Physical Force,Narcotics,Self Inflicted Injury,Yes,Resistance with violence,Arrest,Physical - Active,,Black,Male,21
F17-002,Use of force,01/04/2017,17:50,Officer,Coral Way,Sergeant,White,Male,34,10,,,Physical Force,Narcotics,Self Inflicted Injury,Yes,Resistance without violence,Arrest,Physical - Active,,Black,Male,21
F17-002,Use of force,01/04/2017,17:50,Officer,Little Havana,Police Officer,Hispanic,Male,38,12,,,Physical Force,Narcotics,Self Inflicted Injury,Yes,Resistance with violence,Arrest,Physical - Active,,Black,Male,21
F17-002,Use of force,01/04/2017,17:50,Officer,Little Havana,Police Officer,Hispanic,Male,38,12,,,Physical Force,Narcotics,Self Inflicted Injury,Yes,Resistance without violence,Arrest,Physical - Active,,Black,Male,21
F17-003,Use of force,01/10/2017,23:30,Witness,Little Havana,Police Ofc,Black,Male,27,1,,,,Battery - LEO,Head Injury,Yes,Battery - Law Enforcement Officer,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,Little Havana,Police Ofc,Black,Male,27,1,,,,Battery - LEO,Head Injury,Yes,Resistance with violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,Little Havana,Police Ofc,Black,Male,27,1,,,,Battery - LEO,Head Injury,Yes,Assault Domestic Violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,Little Havana,Police Ofc,Black,Male,27,1,,,,Battery - LEO,Arm Injury,Yes,Battery - Law Enforcement Officer,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,Little Havana,Police Ofc,Black,Male,27,1,,,,Battery - LEO,Arm Injury,Yes,Resistance with violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,Little Havana,Police Ofc,Black,Male,27,1,,,,Battery - LEO,Arm Injury,Yes,Assault Domestic Violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,Little Havana,Police Ofc,Black,Male,27,1,,,,Battery - LEO,Rescue Treated On Scene,Yes,Battery - Law Enforcement Officer,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,Little Havana,Police Ofc,Black,Male,27,1,,,,Battery - LEO,Rescue Treated On Scene,Yes,Resistance with violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,Little Havana,Police Ofc,Black,Male,27,1,,,,Battery - LEO,Rescue Treated On Scene,Yes,Assault Domestic Violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,,Police Officer,Spanish,Male,,4,,,,Battery - LEO,Head Injury,Yes,Battery - Law Enforcement Officer,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,,Police Officer,Spanish,Male,,4,,,,Battery - LEO,Head Injury,Yes,Resistance with violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,,Police Officer,Spanish,Male,,4,,,,Battery - LEO,Head Injury,Yes,Assault Domestic Violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,,Police Officer,Spanish,Male,,4,,,,Battery - LEO,Arm Injury,Yes,Battery - Law Enforcement Officer,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,,Police Officer,Spanish,Male,,4,,,,Battery - LEO,Arm Injury,Yes,Resistance with violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,,Police Officer,Spanish,Male,,4,,,,Battery - LEO,Arm Injury,Yes,Assault Domestic Violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,,Police Officer,Spanish,Male,,4,,,,Battery - LEO,Rescue Treated On Scene,Yes,Battery - Law Enforcement Officer,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,,Police Officer,Spanish,Male,,4,,,,Battery - LEO,Rescue Treated On Scene,Yes,Resistance with violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Witness,,Police Officer,Spanish,Male,,4,,,,Battery - LEO,Rescue Treated On Scene,Yes,Assault Domestic Violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Officer,Little Havana,Police Officer,Spanish,Male,,4,No injuries noted or visible,,Physical Force,Battery - LEO,Head Injury,Yes,Battery - Law Enforcement Officer,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Officer,Little Havana,Police Officer,Spanish,Male,,4,No injuries noted or visible,,Physical Force,Battery - LEO,Head Injury,Yes,Resistance with violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Officer,Little Havana,Police Officer,Spanish,Male,,4,No injuries noted or visible,,Physical Force,Battery - LEO,Head Injury,Yes,Assault Domestic Violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Officer,Little Havana,Police Officer,Spanish,Male,,4,No injuries noted or visible,,Physical Force,Battery - LEO,Arm Injury,Yes,Battery - Law Enforcement Officer,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Officer,Little Havana,Police Officer,Spanish,Male,,4,No injuries noted or visible,,Physical Force,Battery - LEO,Arm Injury,Yes,Resistance with violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Officer,Little Havana,Police Officer,Spanish,Male,,4,No injuries noted or visible,,Physical Force,Battery - LEO,Arm Injury,Yes,Assault Domestic Violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Officer,Little Havana,Police Officer,Spanish,Male,,4,No injuries noted or visible,,Physical Force,Battery - LEO,Rescue Treated On Scene,Yes,Battery - Law Enforcement Officer,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Officer,Little Havana,Police Officer,Spanish,Male,,4,No injuries noted or visible,,Physical Force,Battery - LEO,Rescue Treated On Scene,Yes,Resistance with violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-003,Use of force,01/10/2017,23:30,Officer,Little Havana,Police Officer,Spanish,Male,,4,No injuries noted or visible,,Physical Force,Battery - LEO,Rescue Treated On Scene,Yes,Assault Domestic Violence,Arrest,Physical - Aggressive,,Hispanic,Male,29
F17-004,Use of force,01/14/2017,18:44,Officer,,Police Officer,Hispanic,Female,30,1,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Resistance with violence,Arrest,Intoxicated,,Hispanic,Male,
F17-004,Use of force,01/14/2017,18:44,Officer,,Police Officer,Hispanic,Female,30,1,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Arrest,Intoxicated,,Hispanic,Male,
F17-004,Use of force,01/14/2017,18:44,Officer,,Police Officer,Hispanic,Male,25,1,Groin Injury,,Physical Force,Battery - LEO,Taser Marks,Yes,Resistance with violence,Arrest,Intoxicated,,Hispanic,Male,
F17-004,Use of force,01/14/2017,18:44,Officer,,Police Officer,Hispanic,Male,25,1,Groin Injury,,Physical Force,Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Arrest,Intoxicated,,Hispanic,Male,
F17-005,Use of force,01/14/2017,09:44,Officer,Overtown,Police Officer,Black,Male,24,2,No injuries noted or visible,,Leg Restraints,Arrest,No injuries noted or visible,No,Burglary - With Assault Therein,Transport,Violent,,Black,Female,20
F17-005,Use of force,01/14/2017,09:44,Witness,Model City,Police Ofc,White,Female,33,2,,,,Arrest,No injuries noted or visible,No,Burglary - With Assault Therein,Transport,Violent,,Black,Female,20
F17-006,Use of force,01/23/2017,02:30,Officer,,Police Officer,Black,Male,22,1,,,,Battery,Facial Injury,No,,Disturbance,,,Black,Male,
F17-007,Use of force,01/24/2017,16:51,Officer,Overtown,Police Ofc,White,Male,25,3,Facial Injury,,Elec Control Devic (ECD),Battery - Aggravated,Taser Marks,Yes,Battery - Aggravated,Radio Call,Mentally Ill,,White,Female,37
F17-007,Use of force,01/24/2017,16:51,Witness,Overtown,Police Ofc,White,Male,24,3,,,,Battery - Aggravated,Taser Marks,Yes,Battery - Aggravated,Radio Call,Mentally Ill,,White,Female,37
F17-008,Use of force,01/28/2017,19:00,Officer,,Police Officer,Hispanic,Male,25,1,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Officer,,Police Officer,Hispanic,Male,25,1,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Resistance with violence,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Officer,,Police Officer,Hispanic,Male,25,1,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Resistance without violence,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Officer,,Police Officer,Hispanic,Male,25,1,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Narcotics - Posession,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,,Police Officer,Hispanic,Female,30,1,,,,Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,,Police Officer,Hispanic,Female,30,1,,,,Battery - LEO,Taser Marks,Yes,Resistance with violence,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,,Police Officer,Hispanic,Female,30,1,,,,Battery - LEO,Taser Marks,Yes,Resistance without violence,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,,Police Officer,Hispanic,Female,30,1,,,,Battery - LEO,Taser Marks,Yes,Narcotics - Posession,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,,Police Ofc,Hispanic,Male,31,1,,,,Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,,Police Ofc,Hispanic,Male,31,1,,,,Battery - LEO,Taser Marks,Yes,Resistance with violence,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,,Police Ofc,Hispanic,Male,31,1,,,,Battery - LEO,Taser Marks,Yes,Resistance without violence,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,,Police Ofc,Hispanic,Male,31,1,,,,Battery - LEO,Taser Marks,Yes,Narcotics - Posession,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,Flagami,Police Sergeant,Hispanic,Female,47,24,,,,Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,Flagami,Police Sergeant,Hispanic,Female,47,24,,,,Battery - LEO,Taser Marks,Yes,Resistance with violence,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,Flagami,Police Sergeant,Hispanic,Female,47,24,,,,Battery - LEO,Taser Marks,Yes,Resistance without violence,Other,Drugged,,White,Male,41
F17-008,Use of force,01/28/2017,19:00,Witness,Flagami,Police Sergeant,Hispanic,Female,47,24,,,,Battery - LEO,Taser Marks,Yes,Narcotics - Posession,Other,Drugged,,White,Male,41
F17-009,Use of force,01/29/2017,00:19,Officer,Wynwood-Edgewater,Police Officer,White,Male,29,4,No injuries noted or visible,,Physical Force,Battery - LEO,Facial Injury,Yes,Battery - Law Enforcement Officer,Self Initiated,Aggressive Physical,,White,Male,26
F17-010,Use of force,02/02/2017,17:59,Officer,Coral Way,Police Ofc,Hispanic,Male,23,2,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Embedded CEW prong puncture,Yes,Battery - Law Enforcement Officer,Arrest,Aggressive Physical,,Hispanic,Male,20
F17-010,Use of force,02/02/2017,17:59,Officer,Coral Way,Police Ofc,Hispanic,Male,23,2,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Embedded CEW prong puncture,Yes,Resistance with violence,Arrest,Aggressive Physical,,Hispanic,Male,20
F17-010,Use of force,02/02/2017,17:59,Officer,Coral Way,Police Ofc,Hispanic,Male,23,2,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Embedded CEW prong puncture,Yes,Resistance without violence,Arrest,Aggressive Physical,,Hispanic,Male,20
F17-010,Use of force,02/02/2017,17:59,Officer,Coral Way,Police Ofc,Hispanic,Male,23,2,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Transported To Hospital,Yes,Battery - Law Enforcement Officer,Arrest,Aggressive Physical,,Hispanic,Male,20
F17-010,Use of force,02/02/2017,17:59,Officer,Coral Way,Police Ofc,Hispanic,Male,23,2,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Transported To Hospital,Yes,Resistance with violence,Arrest,Aggressive Physical,,Hispanic,Male,20
F17-010,Use of force,02/02/2017,17:59,Officer,Coral Way,Police Ofc,Hispanic,Male,23,2,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Transported To Hospital,Yes,Resistance without violence,Arrest,Aggressive Physical,,Hispanic,Male,20
F17-011,Use of force,02/04/2017,05:15,Officer,Wynwood-Edgewater,Police Officer,Hispanic,Male,27,4,,,Physical Force,Disorderly Intoxication,Facial Injury,Yes,,Arrest,Mentally Ill,,Hispanic,Male,23
F17-012,Use of force,02/08/2017,18:23,Witness,Little Havana,Police Officer,Spanish,Male,37,9,,,,Battery - LEO,No injuries noted or visible,Yes,Assault,Arrest,Aggressive Physical,,W/Spanish,Female,32
F17-012,Use of force,02/08/2017,18:23,Witness,,Police Officer,Spanish,Male,34,5,,,,Battery - LEO,No injuries noted or visible,Yes,Assault,Arrest,Aggressive Physical,,W/Spanish,Female,32
F17-012,Use of force,02/08/2017,18:23,Officer,,Pol Recruit,Hispanic,Female,27,1,No injuries noted or visible,,Physical Force,Battery - LEO,No injuries noted or visible,Yes,Assault,Arrest,Aggressive Physical,,W/Spanish,Female,32
F17-013,Use of force,02/09/2017,08:19,Officer,Little Havana,Police Officer,Black,Male,36,10,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Disorderly Conduct,Arrest,Aggressive Physical,,B/Haitian,Male,24
F17-013,Use of force,02/09/2017,08:19,Officer,Little Havana,Police Officer,Black,Male,36,10,No injuries noted or visible,,Elec Control Devic (ECD),Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Arrest,Aggressive Physical,,B/Haitian,Male,24
F17-013,Use of force,02/09/2017,08:19,Witness,,Police Officer,Black,Male,45,12,,,,Battery - LEO,Taser Marks,Yes,Disorderly Conduct,Arrest,Aggressive Physical,,B/Haitian,Male,24
F17-013,Use of force,02/09/2017,08:19,Witness,,Police Officer,Black,Male,45,12,,,,Battery - LEO,Taser Marks,Yes,Battery - Law Enforcement Officer,Arrest,Aggressive Physical,,B/Haitian,Male,24
