"Blunt_Object","Category_of_Force_Event__Measured_at_Event_Level","Disposition_Custody","DOW","Firearm","Firearm__Implied","Firearm__Replica","Force_Applied__1","Force_Applied__2","Force_Applied__3","Force_Applied__4","Force_Applied__5","Force_Applied__6","Force_Applied__7","Force_Applied__8","Hour_(6Hr)","Initial_Call_Category","Initial_Call_type","Knife___Edged_Weapon___Stabbing_Instrument","Mental_Health_Crisis__Prior_to_Force,_Perceived_Lack_of_Compliance","Month","Needle___Spit___Bodily_Fluids","No_weapon_(unarmed)","Officer","Officer_Precinct","Officer_Tenure","Other_Weapon","Record_ID","Subject","Subject__Race","Subject__Sex","Subject__Transient","Subject_Age","Subject_Instance","Subject_Resistance__1","Subject_Resistance__2","Subject_Resistance__3","Subject_Resistance__4","Subject_Resistance__5","Subject_Resistance__6","Subject_Resistance__7","Subject_Resistance__8","Type_of_Call","Under_the_Influence_of_Alcohol__Prior_to_Force,_Perceived_Condition","Under_the_Influence_of_Drugs__Prior_to_Force,_Perceived_Condition","Weapon_Present_or_reported_but_not_used_or_threatened_use","Year","Record_Count...48","Record_Count...49","AgeBands","serious","(Intercept)","Officer_PrecinctDetectives","Officer_PrecinctEast_Precinct","Officer_PrecinctFamily_Services","Officer_PrecinctK9","Officer_PrecinctNorth_Precinct","Officer_PrecinctSERT","Officer_PrecinctTOD","Officer_PrecinctTraffic","Officer_PrecinctTraining","Officer_PrecinctTransit_PPB_Only","Subject__RaceAsian","Subject__RaceBlack","Subject__RaceHispanic","Subject__RaceNative_American","Subject__RaceUnknown","Subject__SexFemale","Subject__TransientUnknown","Subject__TransientYes","AgeBands25_34","AgeBands35_44","AgeBands45_54","AgeBands55_65","AgeBands66_100"
NA,"II","Arrest_Felony","Sunday","Firearm",NA,NA,"K9",NA,NA,NA,NA,NA,NA,NA,"0000_0559","Subject_Stop","PERSON_CONTACT_86",NA,NA,"November",NA,NA,"903731","K9","8",NA,"354549031","244202","Black","Male","No",38,"354793233","Active",NA,NA,NA,NA,NA,NA,NA,"Self_Initiated",NA,NA,NA,"2020","1","1","35_44",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NA,"II","Arrest_Misdemeanor","Sunday",NA,NA,NA,"K9",NA,NA,NA,NA,NA,NA,NA,"0000_0559","Restraining_Order_Violation","RESTRAINING_ORDER_VIOLATION___PRIORITY",NA,NA,"October",NA,"No_weapon_unarmed","903731","TOD","8",NA,"700548764","554467","Black","Male","Yes",26,"701103231","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
NA,"II","Arrest_Misdemeanor","Sunday",NA,NA,NA,"K9",NA,NA,NA,NA,NA,NA,NA,"0000_0559","Suspicious","SUSPICIOUS___WITH_WEAPON_*H",NA,NA,"February",NA,NA,"916531","TOD","10",NA,"626546134","603489","Black","Male","No",22,"627149623","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,"Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","18_24",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NA,"II","Arrest_Misdemeanor","Sunday",NA,NA,NA,"Kinetic_Impact_Projectile_KIP",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Robbery","ROBBERY___WITH_WEAPON_*H","Knife___Edged_Weapon___Stabbing_Instrument",NA,"May",NA,NA,"196561","Central_Precinct","7",NA,"67547128","465560","White","Female","Yes",34,"68012688","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
NA,"II","Arrest_Warrant","Sunday",NA,NA,NA,"CEW","CEW",NA,NA,NA,NA,NA,NA,"1800_2359","Area_Premise_Check","PREMISE_CHECK",NA,NA,"April",NA,"No_weapon_unarmed","836731","East_Precinct","4",NA,"791546955","352193","Hispanic","Male","Yes",30,"791899148","Aggressive","Active",NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
NA,"II","Arrest_Warrant","Sunday",NA,NA,NA,"Control_Against_Resistance","CEW","Takedown_II_and_III","CEW","CEW","Resisted_HC",NA,NA,"1200_1759","Welfare_Check","WELFARE_CHECK___COLD",NA,NA,"September",NA,"No_weapon_unarmed","1049550","North_Precinct","18",NA,"734548625","399605","White","Male","Yes",31,"734948230","Active","Aggressive","Active","Aggressive","Aggressive","Active",NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"II","Arrest_Warrant","Sunday",NA,NA,NA,"Kinetic_Impact_Projectile_KIP",NA,NA,NA,NA,NA,NA,NA,"1200_1759","Behavioral_Health","ECIT",NA,"Yes","August",NA,NA,"751121","East_Precinct","3",NA,"595548283","576983","White","Male","No",21,"596125266","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes","Weapon_Present_or_reported_but_not_used_or_threatened_use","2020","1","1","18_24",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"II","Arrest_Warrant","Sunday",NA,NA,NA,"Resisted_HC",NA,NA,NA,NA,NA,NA,NA,"1200_1759","Welfare_Check","WELFARE_CHECK___COLD",NA,NA,"September",NA,"No_weapon_unarmed","945541","North_Precinct","11",NA,"734548625","399605","White","Male","Yes",31,"734948230","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
NA,"II","Arrest_Warrant","Sunday",NA,NA,NA,"Resisted_HC",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Area_Premise_Check","PREMISE_CHECK",NA,NA,"April",NA,"No_weapon_unarmed","1085151","East_Precinct","3",NA,"791546955","352193","Hispanic","Male","Yes",30,"791899148","Active",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,"Yes",NA,"2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
NA,"II","Cite_and_Release","Sunday",NA,NA,NA,"Kinetic_Impact_Projectile_KIP",NA,NA,NA,NA,NA,NA,NA,"1800_2359","Behavioral_Health","ECIT","Knife___Edged_Weapon___Stabbing_Instrument",NA,"July",NA,NA,"717111","East_Precinct","3",NA,"904547806","949397","White","Male","Yes",29,"905497203","Aggressive",NA,NA,NA,NA,NA,NA,NA,"Dispatched",NA,NA,NA,"2020","1","1","25_34",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
