"ID","Incident_Num","Incident_Type","Occured_date_time","Precinct","Sector","Beat","Officer_ID","Subject_ID","Subject_Race","Subject_Gender","datetime","serious","(Intercept)","Subject_RaceAmerican_Indian_Alaska_Native","Subject_RaceAsian","Subject_RaceBlack_or_African_American","Subject_RaceHispanic_or_Latino","Subject_RaceNat_Hawaiian_Oth_Pac_Islander","Subject_RaceNot_Specified","Subject_RaceTwo_or_More_Races","Subject_Gender_","Subject_GenderFemale","Subject_GenderNon_binary","Subject_GenderOther","Subject_GenderTransgender_Female","Subject_GenderTransgender_Male","Subject_GenderUnknown","Precinct-","Precinct0","PrecinctEast","PrecinctNorth","PrecinctOOJ","PrecinctSouth","PrecinctSouthwest"
"2020UOF-1109-2149-22632",56976,"Level 1 - Use of Force","05/31/2020 04:17:00 PM","West","MARY","M3",2165,23514,"White","Male",2020-05-31 16:17:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1496-2355-22566",58367,"Level 2 - Use of Force","09/22/2020 10:35:00 PM","East","EDWARD","E2",2351,23448,"White","Male",2020-09-22 22:35:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0759-2013-5643",56192,"Level 2 - Use of Force","06/06/2020 07:30:00 PM","East","EDWARD","E2",2097,5602,"Not_Specified","Male",2020-06-06 19:30:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1582-1071-13172",58571,"Level 2 - Use of Force","09/26/2020 07:10:00 PM","East","EDWARD","E2",1827,14068,"White","Female",2020-09-26 19:10:00,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0512-220-22374",55531,"Level 1 - Use of Force","05/13/2020 03:00:00 PM","OOJ","","99",1268,23257,"Black_or_African_American","Male",2020-05-13 15:00:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2020UOF-2008-2595-24292",60200,"Level 1 - Use of Force","12/30/2020 12:29:00 AM","South","ROBERT","R3",4920,25172,"Not_Specified","Male",2020-12-30 00:29:00,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-1985-2563-24156",59899,"Level 2 - Use of Force","12/11/2020 11:14:00 PM","South","SAM","S2",4836,25036,"Asian","Female",2020-12-11 23:14:00,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-0866-153-5287",56303,"Level 2 - Use of Force","06/08/2020 12:30:00 AM","East","EDWARD","E2",1546,5248,"White","Male",2020-06-08 00:30:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0812-2062-22644",56258,"Level 2 - Use of Force","05/29/2020 08:00:00 PM","West","KING","K1",2109,23526,"White","Male",2020-05-29 20:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0162-2304-14681",53286,"Level 1 - Use of Force","02/07/2020 06:55:00 PM","North","NORA","N1",2300,15571,"Black_or_African_American","Male",2020-02-07 18:55:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-0018-2105-21232",52254,"Level 1 - Use of Force","01/03/2020 04:27:00 PM","North","LINCOLN","L1",2146,22118,"Black_or_African_American","Male",2020-01-03 16:27:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-1869-2717-12514",60105,"Level 1 - Use of Force","12/18/2020 08:04:00 AM","East","EDWARD","E2",5239,13412,"White","Unknown",2020-12-18 08:04:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"2020UOF-0672-2281-22537",56061,"Level 1 - Use of Force","05/31/2020 10:00:00 PM","West","MARY","M2",2237,23419,"White","Female",2020-05-31 22:00:00,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0271-1987-21755",53937,"Level 1 - Use of Force","02/27/2020 02:10:00 PM","East","EDWARD","E2",1884,22639,"Asian","Female",2020-02-27 14:10:00,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1312-1358-23017",57019,"Level 2 - Use of Force","07/19/2020 03:30:00 PM","West","DAVID","D2",1743,23898,"Nat_Hawaiian_Oth_Pac_Islander","Male",2020-07-19 15:30:00,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0770-2402-6763",56181,"Level 2 - Use of Force","06/08/2020 12:30:00 AM","East","EDWARD","E2",2399,6715,"Not_Specified","Unknown",2020-06-08 00:30:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"2020UOF-1471-1975-737",58258,"Level 2 - Use of Force","09/07/2020 05:00:00 PM","South","OCEAN","O2",1878,735,"White","Male",2020-09-07 17:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-1386-2563-23370",57780,"Level 2 - Use of Force","08/24/2020 11:40:00 PM","East","EDWARD","E2",4836,24251,"White","Non_binary",2020-08-24 23:40:00,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1474-1078-23619",58240,"Level 1 - Use of Force","09/07/2020 09:09:00 PM","West","KING","K3",1235,24499,"White","Female",2020-09-07 21:09:00,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-0893-2611-19016",55708,"Level 1 - Use of Force","05/21/2020 11:17:00 PM","North","UNION","U2",5003,19902,"Not_Specified","Female",2020-05-21 23:17:00,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-0707-1180-696",56158,"Level 2 - Use of Force","05/29/2020 08:20:00 PM","West","KING","K1",1664,694,"White","Male",2020-05-29 20:20:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1661-1191-23744",58625,"Level 2 - Use of Force","10/05/2020 10:24:00 AM","South","OCEAN","O3",1777,24624,"Not_Specified","Male",2020-10-05 10:24:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2020UOF-0738-1358-22596",56122,"Level 2 - Use of Force","06/08/2020 12:05:00 AM","East","EDWARD","E2",1743,23478,"Not_Specified","Unknown",2020-06-08 00:05:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"2020UOF-1605-1224-5643",58080,"Level 2 - Use of Force","08/26/2020 10:17:00 PM","East","EDWARD","E2",1788,5602,"Not_Specified","Male",2020-08-26 22:17:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-1137-2063-23110",57188,"Level 2 - Use of Force","07/25/2020 10:00:00 AM","East","EDWARD","E2",2110,23991,"Not_Specified","Male",2020-07-25 10:00:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0980-1142-22764",56496,"Level 2 - Use of Force","06/07/2020 11:30:00 PM","East","EDWARD","E2",1660,23646,"Not_Specified","Unknown",2020-06-07 23:30:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"2020UOF-1713-2679-23873",59025,"Level 1 - Use of Force","10/23/2020 11:56:00 PM","West","KING","K1",5140,24753,"White","Female",2020-10-23 23:56:00,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2020UOF-1699-1306-18728",59214,"Level 1 - Use of Force","11/02/2020 12:30:00 PM","North","NORA","N1",1615,19614,"American_Indian_Alaska_Native","Male",2020-11-02 12:30:00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2020UOF-1380-394-11757",58062,"Level 2 - Use of Force","09/07/2020 04:00:00 PM","West","KING","K3",545,12658,"Not_Specified","Unknown",2020-09-07 16:00:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2020UOF-0617-1167-7943",55960,"Level 2 - Use of Force","06/03/2020 11:30:00 PM","East","EDWARD","E2",1229,7884,"Not_Specified","Male",2020-06-03 23:30:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020UOF-0654-2273-22559",56040,"Level 2 - Use of Force","05/30/2020 11:30:00 PM","West","MARY","M2",2230,23441,"Not_Specified","Unknown",2020-05-30 23:30:00,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2020UOF-1185-1145-737",57288,"Level 2 - Use of Force","07/25/2020 09:00:00 PM","East","EDWARD","E2",1809,735,"White","Male",2020-07-25 21:00:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
